datetime,open,high,low,close,volume,ST_3,ST_2,ST_1,EMA_10,EMA_21,EMA_51,EMA_101,EMA_151,EMA_200,SMA_10,SMA_20,SMA_30,SMA_40,SMA_50,RSI_14,RSI_100,BUY_EMA10_EMA20_RSI14,SELL_EMA10_EMA20_RSI14
2022-01-03 09:15:00,35585.2,35710.3,35563.05,35694.4,0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-01-03 09:20:00,35691.9,35696.85,35547.45,35560.4,0,,,,,,,,,,,,,,,,,,
2022-01-03 09:25:00,35558.4,35624.65,35554.8,35600.9,0,,,,,,,,,,,,,,,,,,
2022-01-03 09:30:00,35605.7,35624.85,35526.6,35612.1,0,,,,,,,,,,,,,,,,,,
2022-01-03 09:35:00,35609.6,35675.35,35603.8,35664.5,0,,,,,,,,,,,,,,,,,,
2022-01-03 09:40:00,35669.7,35669.7,35638.7,35651.4,0,,,,,,,,,,,,,,,,,,
2022-01-03 09:45:00,35652.1,35775.1,35632.95,35770.8,0,,,,,,,,,,,,,,,,,,
2022-01-03 09:50:00,35772.4,35818.95,35757.9,35807.3,0,35531.75378117832,35617.310854118885,35702.867927059444,,,,,,,,,,,,,,,
2022-01-03 09:55:00,35801.8,35813.15,35781.5,35800.5,0,35573.2555795576,35647.94538637173,35722.635193185866,,,,,,,,,,,,,,,
2022-01-03 10:00:00,35798.0,35856.45,35792.45,35854.2,0,35606.48688060452,35679.14125373634,35751.795626868174,35701.65,,,,,,35701.65,,,,,,,,
2022-01-03 10:05:00,35852.2,35852.25,35807.3,35826.2,0,35625.855655994186,35693.82877066279,35761.8018853314,35724.29545454545,,,,,,35714.83,,,,,,,,
2022-01-03 10:10:00,35827.8,35846.65,35822.2,35823.9,0,35653.349836721725,35713.70822448115,35774.066612240575,35742.40537190082,,,,,,35741.18000000001,,,,,,,,
2022-01-03 10:15:00,35827.4,35829.25,35789.6,35814.9,0,35653.349836721725,35713.70822448115,35774.066612240575,35755.5862133734,,,,,,35762.58,,,,,,,,
2022-01-03 10:20:00,35814.8,35871.4,35810.25,35864.1,0,35668.150097084515,35725.70839805635,35783.26669902817,35775.31599276005,,,,,,35787.780000000006,,,,,,,,
2022-01-03 10:25:00,35864.8,35899.0,35863.05,35891.6,0,35718.82059373226,35772.88872915484,35826.95686457742,35796.45853953095,,,,,,35810.490000000005,,,,,72.52747462590683,,,
2022-01-03 10:30:00,35896.6,35946.0,35892.0,35912.6,0,35756.63773186613,35810.75848791075,35864.87924395538,35817.57516870714,,,,,,35836.61,,,,,74.2542405979398,,,
2022-01-03 10:35:00,35909.3,35918.65,35876.95,35876.9,0,35756.63773186613,35810.75848791075,35864.87924395538,35828.361501669475,,,,,,35847.22,,,,,66.59144972743886,,,
2022-01-03 10:40:00,35876.4,35903.6,35868.9,35876.8,0,35756.63773186613,35810.75848791075,35864.87924395538,35837.16850136593,,,,,,35854.17,,,,,66.57072611443944,,,
2022-01-03 10:45:00,35874.2,35888.65,35864.45,35872.2,0,35756.63773186613,35810.75848791075,35864.87924395538,35843.53786475394,,,,,,35861.340000000004,,,,,65.56001151277646,,,
2022-01-03 10:50:00,35873.0,35877.55,35860.2,35865.6,0,35756.63773186613,35810.75848791075,35864.87924395538,35847.5491620714,,,,,,35862.479999999996,35782.065,,,,64.05726940750337,,,
2022-01-03 10:55:00,35868.4,35917.05,35860.8,35898.8,0,35758.14060548188,35810.75848791075,35864.87924395538,35856.86749624024,35787.62380952381,,,,,35869.740000000005,35792.284999999996,,,,68.0273790787714,,,
2022-01-03 11:00:00,35898.2,35916.95,35877.9,35890.6,0,35768.66800236431,35811.587001576205,35864.87924395538,35863.000678742006,35796.98528138528,,,,,35876.409999999996,35808.795,,,,66.08577847389729,,,
2022-01-03 11:05:00,35895.9,35910.7,35888.2,35891.2,0,35779.74886192958,35819.64924128638,35864.87924395538,35868.12782806164,35805.550255804796,,,,,35884.04,35823.310000000005,,,,66.16188194092643,,,
2022-01-03 11:10:00,35890.4,35960.5,35882.35,35958.6,0,35784.844098705165,35830.37106580344,35875.89803290172,35884.57731386861,35819.46386891345,,,,,35893.490000000005,35840.634999999995,,,,73.38653951426498,,,
2022-01-03 11:15:00,35960.8,35984.85,35936.65,35980.2,0,35822.99446084074,35868.91297389382,35914.83148694691,35901.96325680159,35834.07624446677,,,,,35902.35,35856.42,,,,75.21301288743474,,,
2022-01-03 11:20:00,35980.8,36001.5,35971.35,35988.2,0,35855.57376435286,35899.19084290191,35942.807921450956,35917.64266465584,35848.08749496979,,,,,35909.909999999996,35873.26,,,,75.87344507098656,,,
2022-01-03 11:25:00,35986.9,35993.45,35955.15,35959.5,0,35855.57376435286,35899.19084290191,35942.807921450956,35925.25308926387,35858.21590451799,,,,,35918.17,35882.695,,,,68.79204248805645,,,
2022-01-03 11:30:00,35958.8,35959.7,35922.0,35922.0,0,35855.57376435286,35899.19084290191,35982.94703563213,35924.661618488615,35864.01445865271,,,,,35922.69,35888.43,,,,60.80635181902178,,,
